stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Martin\Documents\Universidad\2208-EDA\TP6\source\DisplayVirtual\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.18419] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18436] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18451] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18467] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18482] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18499] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18515] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18533] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18548] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18564] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18579] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18595] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18610] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18627] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18642] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18658] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18673] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18690] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18706] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18724] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18739] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18755] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18770] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18785] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18802] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18819] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18834] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18849] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18864] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18880] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18896] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18911] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18926] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18942] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18957] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18973] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18988] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19004] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19019] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19034] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19054] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19075] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19091] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19111] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19127] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19142] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19156] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19171] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19189] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19205] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19220] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19235] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19251] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19267] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19282] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19297] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19311] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19328] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19343] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.19359] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19373] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19388] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19403] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19420] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19435] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19455] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.19471] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19489] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.19503] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19521] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.19535] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19552] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.19566] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19586] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.19601] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19618] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.19633] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19649] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.19665] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19681] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.19696] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19711] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.19729] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19749] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.19769] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19792] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.19810] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19831] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.19854] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19873] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.19892] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19911] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.19929] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19950] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.19967] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19983] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.19999] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20018] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.20035] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20058] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.20079] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20097] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.20115] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20136] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.20155] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20173] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.20189] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20205] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.20220] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20239] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.20263] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20279] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.20296] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20315] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.20330] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20350] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.20364] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20379] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.20396] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20415] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.20432] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20448] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.20467] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20484] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.20503] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20521] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.20538] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20555] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.20572] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20590] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20607] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20625] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20642] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20661] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20677] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20695] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20711] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20729] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20748] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20764] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20781] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20799] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20815] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20834] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20851] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20868] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20883] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20901] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20919] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20936] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20951] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20967] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20985] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21002] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21017] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21032] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21047] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21065] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21099] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21211] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21230] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21246] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21263] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21282] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21301] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21328] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21350] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21368] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21386] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21406] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21427] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21455] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21471] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21487] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21503] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
